State,County,Perc.Fair.Poor.Health,Physically.Unhealthy.Days,Mentally.Unhealthy.Days,Perc.Low.Birth.Weight,Perc.Smokers,Perc.Obese,Perc.Physically.Inactive,Perc.Excessive.Drinking,MV.Mortality.Rate,Chlamydia.Rate,Teen.Birth.Rate,Perc.Uninsured,Pr.Care.Physician.Ratio,Dentist.Ratio,Prev.Hosp.Stay.Rate,Perc.Diabetic.Screening,Perc.Mammography,Perc.High.School.Grad,Perc.Some.College,Perc.Unemployed,Perc.Children.in.Poverty,Perc.No.Soc.Emo.Support,Perc.Single.Parent.HH,Violent.Crime.Rate,Avg.Daily.Particulates,Perc.pop.in.viol,Rec.Facility.Rate,Perc.Limited.Access,Perc.Fast.Foods,source
0,143,21.0,5.0,5.3,11.9,33.0,34,37,13.0,34.0,327.0,48.0,18,3813.0,5020.0,87.0,85.0,57.2,73.0,42.4,9.9,31,29.0,38.0,246.0,13.7,0.0,4.4,2,45.0,test
0,281,40.0,4.8,4.0,11.4,24.0,35,36,8.0,27.0,664.0,64.0,19,2438.0,3844.0,89.0,86.0,64.5,79.0,46.5,11.4,39,33.0,50.0,583.0,13.2,0.0,5.9,9,54.0,test
0,303,23.0,5.1,4.3,9.3,25.0,31,36,14.0,26.0,258.0,52.0,19,3249.0,8762.0,116.0,89.0,64.1,72.0,45.9,8.7,37,23.0,28.0,241.0,12.9,0.0,0.0,0,67.0,test
0,376,20.0,5.1,4.1,11.6,19.0,33,36,6.0,48.0,605.0,53.0,19,2644.0,6633.0,179.0,75.0,58.2,79.0,31.5,14.8,40,22.0,53.0,377.0,12.1,0.0,0.0,15,50.0,test
0,394,23.0,3.7,4.5,9.6,31.0,36,37,12.0,31.0,471.0,70.0,18,1575.0,2951.0,153.0,86.0,66.2,76.0,44.8,8.9,34,15.0,39.0,293.0,11.8,0.0,5.3,3,54.0,test
0,405,20.0,4.3,3.4,9.7,15.0,37,34,13.0,35.0,647.0,55.0,19,6939.0,7005.0,88.0,77.0,58.8,87.0,42.7,8.7,28,18.0,45.0,257.0,12.3,0.0,0.0,16,29.0,test
0,708,17.0,3.5,3.7,9.0,21.0,34,31,6.0,32.0,665.0,47.0,18,3461.0,4376.0,55.0,83.0,62.4,72.0,51.8,8.4,29,16.0,33.0,333.0,11.6,46.0,0.0,1,56.0,test
0,950,14.0,3.2,3.3,10.6,19.0,31,25,11.0,17.0,453.0,35.0,14,1191.0,1922.0,56.0,85.0,69.2,74.0,69.0,7.6,20,21.0,32.0,478.0,13.3,0.0,17.0,8,56.0,test
0,1298,21.0,4.5,4.5,10.2,28.0,32,35,13.0,35.0,249.0,54.0,18,2547.0,7778.0,115.0,84.0,55.1,81.0,43.6,11.0,31,15.0,44.0,248.0,13.1,7.0,4.4,2,53.0,test
0,1665,22.0,4.3,2.9,10.0,20.0,36,33,10.0,28.0,438.0,45.0,19,5870.0,8878.0,78.0,77.0,61.9,85.0,41.3,14.0,27,22.0,29.0,354.0,12.3,0.0,0.0,3,42.0,test
0,1721,18.0,4.4,6.3,9.8,21.0,36,34,12.0,39.0,212.0,56.0,19,3049.0,6174.0,180.0,83.0,55.0,87.0,42.3,13.4,30,28.0,35.0,186.0,13.0,0.0,0.0,1,33.0,test
1,537,11.0,3.5,3.0,5.6,21.0,28,23,21.0,12.0,823.0,39.0,20,1403.0,1068.0,41.0,77.0,58.5,67.0,67.4,6.7,11,17.0,30.0,688.0,0.0,2.0,9.2,10,42.0,test
1,1127,19.0,4.3,2.3,6.4,48.0,30,32,22.0,15.0,2738.0,94.0,29,1888.0,3967.0,60.0,68.0,57.0,49.0,36.5,14.7,28,40.0,42.0,688.0,0.0,73.0,0.0,32,100.0,test
1,1734,15.0,3.9,3.1,6.3,20.0,31,25,21.0,15.0,1186.0,33.0,25,2110.0,1253.0,60.0,86.0,55.2,80.0,64.8,9.8,16,23.0,35.0,226.0,0.0,7.0,0.0,2,70.0,test
