FIPS,State,Perc.Fair.Poor.Health,Physically.Unhealthy.Days,Mentally.Unhealthy.Days,Perc.Low.Birth.Weight,Perc.Smokers,Perc.Obese,Perc.Physically.Inactive,Perc.Excessive.Drinking,MV.Mortality.Rate,Chlamydia.Rate,Teen.Birth.Rate,Perc.Uninsured,Pr.Care.Physician.Ratio,Dentist.Ratio,Prev.Hosp.Stay.Rate,Perc.Diabetic.Screening,Perc.Mammography,Perc.High.School.Grad,Perc.Some.College,Perc.Unemployed,Perc.Children.in.Poverty,Perc.No.Soc.Emo.Support,Perc.Single.Parent.HH,Violent.Crime.Rate,Avg.Daily.Particulates,Perc.pop.in.viol,Rec.Facility.Rate,Perc.Limited.Access,Perc.Fast.Foods
1003,0,13.0,3.3,3.8,8.8,23.0,26,25,19.0,20.0,306.0,48.0,19,1347.0,2379.0,56.0,81.0,69.9,74.0,62.1,8.1,21,19.0,28,215.0,11.8,8.0,8.7,5,35.0
1005,0,22.0,5.0,4.1,12.3,24.0,37,34,13.0,26.0,645.0,74.0,19,2282.0,3398.0,109.0,86.0,64.8,61.0,42.1,11.4,40,18.0,57,150.0,12.1,8.0,3.7,11,56.0
1009,0,22.0,5.2,4.0,7.6,22.0,32,36,5.0,28.0,113.0,49.0,19,4782.0,5261.0,95.0,84.0,66.0,81.0,43.3,8.3,22,14.0,26,102.0,13.0,7.0,5.2,1,56.0
1011,0,25.0,5.0,4.0,14.1,21.0,39,31,11.0,59.0,770.0,86.0,16,1815.0,6291.0,117.0,76.0,57.0,71.0,39.0,15.3,41,23.0,67,386.0,12.5,0.0,0.0,20,50.0
1013,0,20.0,3.8,3.2,10.4,29.0,41,37,10.0,29.0,645.0,62.0,17,2991.0,3545.0,143.0,83.0,59.9,72.0,47.3,11.6,36,28.0,51,370.0,12.4,0.0,0.0,3,47.0
1015,0,24.0,5.1,5.0,9.2,26.0,34,34,13.0,23.0,566.0,51.0,16,1600.0,2289.0,99.0,80.0,60.0,79.0,49.2,9.2,32,22.0,40,725.0,13.1,0.0,7.6,10,55.0
1021,0,21.0,4.8,4.8,9.8,21.0,35,31,11.0,36.0,197.0,57.0,20,5465.0,4411.0,68.0,84.0,62.1,73.0,43.7,8.6,28,23.0,30,876.0,13.6,0.0,6.9,2,56.0
1023,0,33.0,7.3,4.6,10.8,19.0,38,35,8.0,45.0,433.0,48.0,18,2770.0,1997.0,64.0,84.0,66.9,78.0,41.4,11.4,36,27.0,46,117.0,13.0,0.0,0.0,12,38.0
1025,0,22.0,3.5,2.4,12.2,20.0,35,38,13.0,31.0,763.0,42.0,17,1841.0,3722.0,108.0,79.0,62.2,77.0,51.1,15.2,35,28.0,50,491.0,12.7,12.0,11.6,11,63.0
1027,0,24.0,5.0,4.6,10.9,21.0,34,38,6.0,20.0,395.0,51.0,19,2787.0,7095.0,144.0,81.0,58.2,80.0,41.4,11.8,29,27.0,30,225.0,13.2,0.0,0.0,2,40.0
