Share Names,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,Deliverable Qty,% Dly Qt to Traded Qty
Share1,2-May-17,1971.4,1982,2018.95,1958,1990,1992.2,1992.2,46460,92557383.1,6709,65.77
Share1,3-May-17,1992.2,2005,2010,1961.05,1990,1990.55,1980.5,19690,38996118.55,3639,55.85
Share1,4-May-17,1990.55,1990.55,2001,1955,1959,1962.65,1973.68,21046,41538053,2274,35.43
Share1,5-May-17,1962.65,1956,1974,1915,1916.9,1931.8,1951.39,24807,48408121.95,3604,50.55
Share1,8-May-17,1931.8,1935.2,1937.9,1897.4,1900,1918.6,1914.59,42772,81890770.7,2195,72.55
Share1,9-May-17,1918.6,1924.8,1924.8,1897.05,1903,1907.6,1905.66,12937,24653537.5,2538,49.37
Share1,10-May-17,1907.6,1920,1935.95,1901.3,1910,1906.35,1913.99,19311,36961151.65,2507,49.27
Share1,11-May-17,1906.35,1902.5,1935.85,1894.05,1915.25,1923.8,1914.38,22813,43672670.05,3029,47.89
Share1,12-May-17,1923.8,1923.8,1928.95,1881,1882.3,1892.55,1899.46,29355,55758792.55,3836,56.64
Share1,15-May-17,1892.55,1905,1952.4,1881.05,1917.6,1916.1,1919.79,27342,52490765.75,3093,42.44
Share2,2-May-17,85.4,85.9,85.95,82.9,83.6,83.65,83.98,10832676,909719619.1,41388,40.06
Share2,3-May-17,83.65,83.4,83.75,82.65,82.75,82.8,83.04,4338219,360226683.3,19944,43.55
Share2,4-May-17,82.8,82.7,84.4,82.7,83.3,83.25,83.51,7670618,640577048.2,19997,52
Share2,5-May-17,83.25,83.3,84.4,82.3,83.2,83.2,83.47,9585864,800137207.1,32370,46.18
Share2,8-May-17,83.2,83.2,84.3,82.65,83.45,83.4,83.43,8573332,715306025.3,31803,42.58
Share2,9-May-17,83.4,83.4,83.8,82.75,82.9,82.9,83.08,7683180,638349381,20982,63.53
Share2,10-May-17,82.9,83.05,86,83.05,85.7,85.55,84.54,16320703,1379828353,38142,51.54
Share2,11-May-17,85.55,86,87.15,85.8,86.55,86.55,86.61,10349937,896379069.7,31052,36.71
Share2,12-May-17,86.55,86.9,86.9,85.1,85.5,85.7,85.79,7865319,674742518.5,21194,37.21
Share2,15-May-17,85.7,86,86.5,85.45,86.5,86.2,86.03,5372613,462206887.5,12724,42.95
Share3,2-May-17,2443.2,2440,2448.95,2376.05,2410,2400.75,2406.72,17672,42531481.1,1583,71.23
Share3,3-May-17,2400.75,2440,2454.95,2366,2366,2375.85,2395.22,21732,52052860.45,2412,53.23
Share3,4-May-17,2375.85,2381.95,2429,2360,2360.5,2372.45,2392.8,16033,38363826.6,1701,63.77
Share3,5-May-17,2372.45,2399,2469,1945.4,2440,2442.1,2380.72,51503,122614054.3,5324,28.66
