Date,Open,Share
23-Dec-15,1380.0,Share1
24-Dec-15,1388.0,Share1
28-Dec-15,1532.7,Share1
29-Dec-15,1469.85,Share1
30-Dec-15,1478.0,Share1
31-Dec-15,1460.0,Share1
1-Jan-16,1495.0,Share1
4-Jan-16,1499.9,Share1
5-Jan-16,1538.0,Share1
6-Jan-16,1556.0,Share1
7-Jan-16,1504.0,Share1
8-Jan-16,1480.0,Share1
11-Jan-16,1463.4,Share1
12-Jan-16,1481.0,Share1
13-Jan-16,1478.0,Share1
14-Jan-16,1397.0,Share1
15-Jan-16,1444.2,Share1
18-Jan-16,1421.0,Share1
19-Jan-16,1355.0,Share1
20-Jan-16,1320.0,Share1
21-Jan-16,1339.0,Share1
22-Jan-16,1385.0,Share1
25-Jan-16,1373.8,Share1
27-Jan-16,1364.7,Share1
28-Jan-16,1334.0,Share1
29-Jan-16,1343.0,Share1
1-Feb-16,1361.0,Share1
2-Feb-16,1382.8,Share1
3-Feb-16,1361.0,Share1
4-Feb-16,1380.2,Share1
5-Feb-16,1345.0,Share1
8-Feb-16,1345.0,Share1
9-Feb-16,1310.0,Share1
10-Feb-16,1337.9,Share1
11-Feb-16,1320.0,Share1
12-Feb-16,1276.05,Share1
15-Feb-16,1359.5,Share1
16-Feb-16,1320.0,Share1
17-Feb-16,1312.0,Share1
18-Feb-16,1315.5,Share1
19-Feb-16,1305.0,Share1
22-Feb-16,1310.0,Share1
23-Feb-16,1287.1,Share1
24-Feb-16,1305.0,Share1
25-Feb-16,1282.3,Share1
26-Feb-16,1282.0,Share1
29-Feb-16,1279.8,Share1
1-Mar-16,1267.15,Share1
2-Mar-16,1324.0,Share1
3-Mar-16,1312.1,Share1
4-Mar-16,1310.0,Share1
8-Mar-16,1345.0,Share1
9-Mar-16,1345.0,Share1
10-Mar-16,1358.0,Share1
11-Mar-16,1341.0,Share1
14-Mar-16,1350.0,Share1
15-Mar-16,1354.0,Share1
16-Mar-16,1365.0,Share1
17-Mar-16,1365.0,Share1
18-Mar-16,1355.0,Share1
21-Mar-16,1386.85,Share1
22-Mar-16,1353.0,Share1
23-Mar-16,1352.0,Share1
28-Mar-16,1360.0,Share1
29-Mar-16,1394.5,Share1
30-Mar-16,1418.0,Share1
31-Mar-16,1377.0,Share1
1-Apr-16,1282.0,Share1
4-Apr-16,1334.0,Share1
5-Apr-16,1351.0,Share1
6-Apr-16,1332.0,Share1
7-Apr-16,1328.9,Share1
8-Apr-16,1336.5,Share1
11-Apr-16,1352.0,Share1
12-Apr-16,1333.0,Share1
13-Apr-16,1335.2,Share1
