Date,Share,close
23-Dec-15,Share1,1381.7
24-Dec-15,Share1,1523.75
28-Dec-15,Share1,1468.4
29-Dec-15,Share1,1465.55
30-Dec-15,Share1,1458.25
31-Dec-15,Share1,1485.25
1-Jan-16,Share1,1503.1
4-Jan-16,Share1,1530.15
5-Jan-16,Share1,1567.7
6-Jan-16,Share1,1527.0
7-Jan-16,Share1,1467.35
8-Jan-16,Share1,1477.2
11-Jan-16,Share1,1475.7
12-Jan-16,Share1,1474.3
13-Jan-16,Share1,1415.75
14-Jan-16,Share1,1435.8
15-Jan-16,Share1,1431.65
18-Jan-16,Share1,1344.6
19-Jan-16,Share1,1330.4
20-Jan-16,Share1,1322.8
21-Jan-16,Share1,1368.6
22-Jan-16,Share1,1366.8
25-Jan-16,Share1,1356.85
27-Jan-16,Share1,1339.5
28-Jan-16,Share1,1350.1
29-Jan-16,Share1,1358.8
1-Feb-16,Share1,1373.45
2-Feb-16,Share1,1372.7
3-Feb-16,Share1,1373.3
4-Feb-16,Share1,1347.5
5-Feb-16,Share1,1338.05
8-Feb-16,Share1,1323.35
9-Feb-16,Share1,1338.4
10-Feb-16,Share1,1320.9
11-Feb-16,Share1,1275.8
12-Feb-16,Share1,1319.75
15-Feb-16,Share1,1314.95
16-Feb-16,Share1,1309.6
17-Feb-16,Share1,1317.9
18-Feb-16,Share1,1308.6
19-Feb-16,Share1,1310.35
22-Feb-16,Share1,1281.6
23-Feb-16,Share1,1310.0
24-Feb-16,Share1,1279.1
25-Feb-16,Share1,1272.15
26-Feb-16,Share1,1279.55
29-Feb-16,Share1,1264.65
1-Mar-16,Share1,1315.2
2-Mar-16,Share1,1301.1
3-Mar-16,Share1,1307.15
4-Mar-16,Share1,1311.3
8-Mar-16,Share1,1342.6
9-Mar-16,Share1,1345.75
10-Mar-16,Share1,1348.2
11-Mar-16,Share1,1367.2
14-Mar-16,Share1,1354.0
15-Mar-16,Share1,1356.2
16-Mar-16,Share1,1356.25
17-Mar-16,Share1,1350.85
18-Mar-16,Share1,1374.95
21-Mar-16,Share1,1350.3
22-Mar-16,Share1,1362.5
23-Mar-16,Share1,1355.8
28-Mar-16,Share1,1387.3
29-Mar-16,Share1,1410.35
30-Mar-16,Share1,1371.1
31-Mar-16,Share1,1356.45
1-Apr-16,Share1,1327.55
4-Apr-16,Share1,1355.15
5-Apr-16,Share1,1333.4
6-Apr-16,Share1,1313.4
7-Apr-16,Share1,1337.8
8-Apr-16,Share1,1340.9
11-Apr-16,Share1,1329.55
12-Apr-16,Share1,1333.9
13-Apr-16,Share1,1339.0
18-Apr-16,Share1,1276.8
20-Apr-16,Share1,1273.1
21-Apr-16,Share1,1242.05
22-Apr-16,Share1,1233.8
25-Apr-16,Share1,1226.7
26-Apr-16,Share1,1221.8
27-Apr-16,Share1,1211.45
28-Apr-16,Share1,1192.1
29-Apr-16,Share1,1190.95
2-May-16,Share1,1249.3
3-May-16,Share1,1228.5
4-May-16,Share1,1225.45
5-May-16,Share1,1242.55
6-May-16,Share1,1245.2
9-May-16,Share1,1247.75
10-May-16,Share1,1227.25
11-May-16,Share1,1204.5
12-May-16,Share1,1196.85
13-May-16,Share1,1186.45
16-May-16,Share1,1194.65
17-May-16,Share1,1192.75
18-May-16,Share1,1220.8
19-May-16,Share1,1227.05
20-May-16,Share1,1233.15
23-May-16,Share1,1252.7
24-May-16,Share1,1225.8
25-May-16,Share1,1234.7
26-May-16,Share1,1258.7
27-May-16,Share1,1248.9
30-May-16,Share1,1276.8
31-May-16,Share1,1263.4
1-Jun-16,Share1,1288.05
2-Jun-16,Share1,1305.95
3-Jun-16,Share1,1358.95
6-Jun-16,Share1,1365.1
7-Jun-16,Share1,1360.25
8-Jun-16,Share1,1402.45
9-Jun-16,Share1,1380.85
10-Jun-16,Share1,1389.9
13-Jun-16,Share1,1389.7
14-Jun-16,Share1,1367.7
15-Jun-16,Share1,1389.4
16-Jun-16,Share1,1380.95
17-Jun-16,Share1,1385.15
20-Jun-16,Share1,1385.05
21-Jun-16,Share1,1369.35
22-Jun-16,Share1,1383.65
23-Jun-16,Share1,1375.25
24-Jun-16,Share1,1384.25
27-Jun-16,Share1,1384.4
28-Jun-16,Share1,1384.3
29-Jun-16,Share1,1378.3
30-Jun-16,Share1,1384.4
1-Jul-16,Share1,1367.25
4-Jul-16,Share1,1357.1
5-Jul-16,Share1,1366.0
7-Jul-16,Share1,1349.2
8-Jul-16,Share1,1357.6
11-Jul-16,Share1,1389.4
12-Jul-16,Share1,1406.75
13-Jul-16,Share1,1418.9
14-Jul-16,Share1,1420.15
15-Jul-16,Share1,1415.4
18-Jul-16,Share1,1419.15
19-Jul-16,Share1,1467.25
20-Jul-16,Share1,1538.3
21-Jul-16,Share1,1553.0
22-Jul-16,Share1,1581.75
25-Jul-16,Share1,1519.0
26-Jul-16,Share1,1523.45
27-Jul-16,Share1,1510.3
28-Jul-16,Share1,1535.8
29-Jul-16,Share1,1566.7
1-Aug-16,Share1,1544.35
2-Aug-16,Share1,1559.7
3-Aug-16,Share1,1521.4
4-Aug-16,Share1,1493.35
5-Aug-16,Share1,1524.95
8-Aug-16,Share1,1579.5
9-Aug-16,Share1,1588.35
10-Aug-16,Share1,1554.75
11-Aug-16,Share1,1594.6
12-Aug-16,Share1,1557.95
16-Aug-16,Share1,1541.5
17-Aug-16,Share1,1534.0
18-Aug-16,Share1,1543.75
19-Aug-16,Share1,1538.25
22-Aug-16,Share1,1522.45
23-Aug-16,Share1,1504.25
24-Aug-16,Share1,1533.3
25-Aug-16,Share1,1540.25
26-Aug-16,Share1,1542.9
29-Aug-16,Share1,1541.8
30-Aug-16,Share1,1557.2
31-Aug-16,Share1,1547.75
1-Sep-16,Share1,1569.85
2-Sep-16,Share1,1636.5
6-Sep-16,Share1,1644.75
7-Sep-16,Share1,1616.9
8-Sep-16,Share1,1635.9
9-Sep-16,Share1,1602.85
12-Sep-16,Share1,1616.35
14-Sep-16,Share1,1624.3
15-Sep-16,Share1,1622.35
16-Sep-16,Share1,1682.1
19-Sep-16,Share1,1729.7
20-Sep-16,Share1,1697.7
21-Sep-16,Share1,1694.75
22-Sep-16,Share1,1739.55
23-Sep-16,Share1,1762.2
26-Sep-16,Share1,1829.0
27-Sep-16,Share1,1807.2
28-Sep-16,Share1,1844.85
29-Sep-16,Share1,1812.45
30-Sep-16,Share1,1661.25
3-Oct-16,Share1,1678.45
4-Oct-16,Share1,1671.2
5-Oct-16,Share1,1668.3
6-Oct-16,Share1,1663.85
7-Oct-16,Share1,1658.75
10-Oct-16,Share1,1695.6
13-Oct-16,Share1,1669.95
14-Oct-16,Share1,1696.65
17-Oct-16,Share1,1734.4
18-Oct-16,Share1,1747.5
19-Oct-16,Share1,1684.15
20-Oct-16,Share1,1654.1
21-Oct-16,Share1,1659.0
24-Oct-16,Share1,1675.1
25-Oct-16,Share1,1663.65
26-Oct-16,Share1,1662.45
27-Oct-16,Share1,1618.4
28-Oct-16,Share1,1631.9
30-Oct-16,Share1,1656.9
1-Nov-16,Share1,1662.9
2-Nov-16,Share1,1636.65
3-Nov-16,Share1,1618.45
4-Nov-16,Share1,1577.4
7-Nov-16,Share1,1565.05
8-Nov-16,Share1,1592.3
9-Nov-16,Share1,1654.75
10-Nov-16,Share1,1643.1
11-Nov-16,Share1,1643.55
15-Nov-16,Share1,1648.65
16-Nov-16,Share1,1649.5
17-Nov-16,Share1,1617.05
18-Nov-16,Share1,1641.2
21-Nov-16,Share1,1617.7
22-Nov-16,Share1,1677.7
23-Nov-16,Share1,1702.15
24-Nov-16,Share1,1722.1
25-Nov-16,Share1,1691.65
28-Nov-16,Share1,1692.15
29-Nov-16,Share1,1712.1
30-Nov-16,Share1,1699.85
1-Dec-16,Share1,1679.1
2-Dec-16,Share1,1679.7
5-Dec-16,Share1,1702.95
6-Dec-16,Share1,1690.8
7-Dec-16,Share1,1675.25
8-Dec-16,Share1,1680.45
9-Dec-16,Share1,1675.35
12-Dec-16,Share1,1623.95
13-Dec-16,Share1,1639.75
14-Dec-16,Share1,1609.35
15-Dec-16,Share1,1632.6
16-Dec-16,Share1,1601.95
19-Dec-16,Share1,1632.8
20-Dec-16,Share1,1632.0
21-Dec-16,Share1,1639.85
22-Dec-16,Share1,1607.6
23-Dec-16,Share1,1601.2
26-Dec-16,Share1,1546.1
27-Dec-16,Share1,1607.55
28-Dec-16,Share1,1612.7
29-Dec-16,Share1,1627.8
30-Dec-16,Share1,1628.65
2-Jan-17,Share1,1622.25
3-Jan-17,Share1,1655.15
4-Jan-17,Share1,1667.35
5-Jan-17,Share1,1661.95
6-Jan-17,Share1,1659.9
9-Jan-17,Share1,1681.2
10-Jan-17,Share1,1683.75
11-Jan-17,Share1,1692.7
12-Jan-17,Share1,1683.25
13-Jan-17,Share1,1686.85
16-Jan-17,Share1,1667.45
17-Jan-17,Share1,1666.05
18-Jan-17,Share1,1654.25
19-Jan-17,Share1,1654.5
20-Jan-17,Share1,1645.5
23-Jan-17,Share1,1643.05
24-Jan-17,Share1,1651.85
25-Jan-17,Share1,1646.6
27-Jan-17,Share1,1659.9
30-Jan-17,Share1,1656.6
31-Jan-17,Share1,1668.35
1-Feb-17,Share1,1694.75
2-Feb-17,Share1,1770.5
3-Feb-17,Share1,1811.75
6-Feb-17,Share1,1818.9
7-Feb-17,Share1,1816.0
8-Feb-17,Share1,1831.2
9-Feb-17,Share1,1812.2
10-Feb-17,Share1,1830.45
13-Feb-17,Share1,1847.35
14-Feb-17,Share1,1874.25
15-Feb-17,Share1,1977.0
16-Feb-17,Share1,2010.2
17-Feb-17,Share1,2001.5
20-Feb-17,Share1,2035.35
21-Feb-17,Share1,2000.05
22-Feb-17,Share1,2022.55
23-Feb-17,Share1,2076.85
27-Feb-17,Share1,2154.75
28-Feb-17,Share1,2141.55
1-Mar-17,Share1,2144.15
2-Mar-17,Share1,2142.1
3-Mar-17,Share1,2138.95
6-Mar-17,Share1,2110.2
7-Mar-17,Share1,2048.6
8-Mar-17,Share1,1974.75
9-Mar-17,Share1,1977.95
10-Mar-17,Share1,1977.75
14-Mar-17,Share1,1930.5
15-Mar-17,Share1,1927.5
16-Mar-17,Share1,1953.5
17-Mar-17,Share1,2021.8
20-Mar-17,Share1,2105.3
21-Mar-17,Share1,2134.15
22-Mar-17,Share1,2170.35
23-Mar-17,Share1,2185.0
24-Mar-17,Share1,2203.9
27-Mar-17,Share1,2211.3
28-Mar-17,Share1,2207.2
29-Mar-17,Share1,2150.8
30-Mar-17,Share1,2172.75
31-Mar-17,Share1,2204.9
3-Apr-17,Share1,2163.35
5-Apr-17,Share1,2207.95
6-Apr-17,Share1,2199.9
7-Apr-17,Share1,2202.0
10-Apr-17,Share1,2141.6
11-Apr-17,Share1,2127.1
12-Apr-17,Share1,2141.9
13-Apr-17,Share1,2110.65
17-Apr-17,Share1,2152.15
18-Apr-17,Share1,2086.95
19-Apr-17,Share1,2075.7
20-Apr-17,Share1,2138.4
21-Apr-17,Share1,2068.3
24-Apr-17,Share1,2021.7
25-Apr-17,Share1,1984.8
26-Apr-17,Share1,1957.15
27-Apr-17,Share1,1924.0
28-Apr-17,Share1,1971.4
30-Apr-15,Share2,69.6
4-May-15,Share2,71.3
5-May-15,Share2,70.55
6-May-15,Share2,66.9
7-May-15,Share2,65.65
8-May-15,Share2,68.7
11-May-15,Share2,74.3
